날짜,종가
2012-03-07,12759.15
2012-03-08,12837.33
2012-03-09,12907.94
2012-03-12,12922.02
2012-03-13,12959.71
2012-03-14,13177.68
2012-03-15,13194.1
2012-03-16,13252.76
2012-03-19,13232.62
2012-03-20,13239.13
2012-03-21,13170.19
2012-03-22,13124.62
2012-03-23,13046.14
2012-03-26,13080.73
2012-03-27,13241.63
2012-03-28,13197.73
2012-03-29,13126.21
2012-03-30,13145.82
2012-04-02,13212.04
2012-04-03,13264.49
2012-04-04,13199.55
2012-04-05,13074.75
2012-04-09,13060.14
2012-04-10,12929.59
2012-04-11,12715.93
2012-04-12,12805.39
2012-04-13,12986.58
2012-04-16,12849.59
2012-04-17,12921.41
2012-04-18,13115.54
2012-04-19,13032.75
2012-04-20,12964.1
2012-04-23,13029.26
2012-04-24,12927.17
2012-04-25,13001.56
2012-04-26,13090.72
2012-04-27,13204.62
2012-04-30,13228.31
2012-05-01,13213.63
2012-05-02,13279.32
2012-05-03,13268.57
2012-05-04,13206.59
2012-05-07,13038.27
2012-05-08,13008.53
2012-05-09,12932.09
2012-05-10,12835.06
2012-05-11,12855.04
2012-05-14,12820.6
2012-05-15,12695.35
2012-05-16,12632
2012-05-17,12598.55
2012-05-18,12442.49
2012-05-21,12369.38
2012-05-22,12504.48
2012-05-23,12502.81
2012-05-24,12496.15
2012-05-25,12529.75
2012-05-29,12454.83
2012-05-30,12580.69
2012-05-31,12419.86
2012-06-01,12393.45
2012-06-04,12118.57
2012-06-05,12101.46
2012-06-06,12127.95
2012-06-07,12414.79
2012-06-08,12460.96
2012-06-11,12554.2
2012-06-12,12411.23
2012-06-13,12573.8
2012-06-14,12496.38
2012-06-15,12651.91
2012-06-18,12767.17
2012-06-19,12741.82
2012-06-20,12837.33
2012-06-21,12824.39
2012-06-22,12573.57
2012-06-25,12640.78
2012-06-26,12502.66
2012-06-27,12534.67
2012-06-28,12627.01
2012-06-29,12602.26
2012-07-02,12880.09
2012-07-03,12871.39
2012-07-05,12943.82
2012-07-06,12896.67
2012-07-09,12772.47
2012-07-10,12736.29
2012-07-11,12653.12
2012-07-12,12604.53
2012-07-13,12573.27
2012-07-16,12777.09
2012-07-17,12727.21
2012-07-18,12805.54
2012-07-19,12908.7
2012-07-20,12943.36
2012-07-23,12822.57
2012-07-24,12721.46
2012-07-25,12617.32
2012-07-26,12676.05
2012-07-27,12887.93
2012-07-30,13075.66
2012-07-31,13073.01
2012-08-01,13008.68
2012-08-02,12971.06
2012-08-03,12878.88
2012-08-06,13096.17
2012-08-07,13117.51
2012-08-08,13168.6
2012-08-09,13175.64
2012-08-10,13165.19
2012-08-13,13207.95
2012-08-14,13169.43
2012-08-15,13172.14
2012-08-16,13164.78
2012-08-17,13250.11
2012-08-20,13275.2
2012-08-21,13271.64
2012-08-22,13203.58
2012-08-23,13172.76
2012-08-24,13057.46
2012-08-27,13157.97
2012-08-28,13124.67
2012-08-29,13102.99
2012-08-30,13107.48
2012-08-31,13000.71
2012-09-04,13090.84
2012-09-05,13035.94
2012-09-06,13047.48
2012-09-07,13292
2012-09-10,13306.64
2012-09-11,13254.29
2012-09-12,13323.36
2012-09-13,13333.35
2012-09-14,13539.86
2012-09-17,13593.37
2012-09-18,13553.1
2012-09-19,13564.64
2012-09-20,13577.96
2012-09-21,13596.93
2012-09-24,13579.47
2012-09-25,13558.92
2012-09-26,13457.55
2012-09-27,13413.51
2012-09-28,13485.97
2012-10-01,13437.13
2012-10-02,13515.11
2012-10-03,13482.36
2012-10-04,13494.61
2012-10-05,13575.36
2012-10-08,13610.15
2012-10-09,13583.65
2012-10-10,13473.53
2012-10-11,13344.97
2012-10-12,13326.39
2012-10-15,13328.85
2012-10-16,13424.23
2012-10-17,13551.78
2012-10-18,13557
2012-10-19,13548.94
2012-10-22,13343.51
2012-10-23,13345.89
2012-10-24,13102.53
2012-10-25,13077.34
2012-10-26,13103.68
2012-10-31,13107.21
2012-11-01,13096.46
2012-11-02,13232.62
2012-11-05,13093.16
2012-11-06,13112.44
2012-11-07,13245.68
2012-11-08,12932.73
2012-11-09,12811.32
2012-11-12,12815.39
2012-11-13,12815.08
2012-11-14,12756.18
2012-11-15,12570.95
2012-11-16,12542.38
2012-11-19,12588.31
2012-11-20,12795.96
2012-11-21,12788.51
2012-11-23,12836.89
2012-11-26,13009.68
2012-11-27,12967.37
2012-11-28,12878.13
2012-11-29,12985.11
2012-11-30,13021.82
2012-12-03,13025.58
2012-12-04,12965.6
2012-12-05,12951.78
2012-12-06,13034.49
2012-12-07,13074.04
2012-12-10,13155.13
2012-12-11,13169.88
2012-12-12,13248.44
2012-12-13,13245.45
2012-12-14,13170.72
2012-12-17,13135.01
2012-12-18,13235.39
2012-12-19,13350.96
2012-12-20,13251.97
2012-12-21,13311.72
2012-12-24,13190.84
2012-12-26,13139.08
2012-12-27,13114.59
2012-12-28,13096.31
2012-12-31,12938.11
2013-01-02,13104.14
2013-01-03,13412.55
2013-01-04,13391.36
2013-01-07,13435.21
2013-01-08,13384.29
2013-01-09,13328.85
2013-01-10,13390.51
2013-01-11,13471.22
2013-01-14,13488.43
2013-01-15,13507.32
2013-01-16,13534.89
2013-01-17,13511.23
2013-01-18,13596.02
2013-01-22,13649.7
2013-01-23,13712.21
2013-01-24,13779.33
2013-01-25,13825.33
2013-01-28,13895.98
2013-01-29,13881.93
2013-01-30,13954.42
2013-01-31,13910.42
2013-02-01,13860.58
2013-02-04,14009.79
2013-02-05,13880.08
2013-02-06,13979.3
2013-02-07,13986.52
2013-02-08,13944.05
2013-02-11,13992.97
2013-02-12,13971.24
2013-02-13,14018.7
2013-02-14,13982.91
2013-02-15,13973.39
2013-02-19,13981.76
2013-02-20,14035.67
2013-02-21,13927.54
2013-02-22,13880.62
2013-02-25,14000.57
2013-02-26,13784.17
2013-02-27,13900.13
2013-02-28,14075.37
2013-03-01,14054.49
2013-03-04,14089.66
2013-03-05,14127.82
2013-03-06,14253.77
2013-03-07,14296.24
2013-03-08,14329.49
2013-03-11,14397.07
2013-03-12,14447.29
2013-03-13,14450.06
2013-03-14,14455.28
2013-03-15,14539.14
2013-03-18,14514.11
2013-03-19,14452.06
2013-03-20,14455.82
2013-03-21,14511.73
2013-03-22,14421.49
2013-03-25,14512.03
2013-03-26,14447.75
2013-03-27,14559.65
2013-03-28,14526.16
2013-04-01,14578.54
2013-04-02,14572.85
2013-04-03,14662.01
2013-04-04,14550.35
2013-04-05,14606.11
2013-04-08,14565.25
2013-04-09,14613.48
2013-04-10,14673.46
2013-04-11,14802.24
2013-04-12,14865.14
2013-04-15,14865.06
2013-04-16,14599.2
2013-04-17,14756.78
2013-04-18,14618.59
2013-04-19,14537.14
2013-04-22,14547.51
2013-04-23,14567.17
2013-04-24,14719.46
2013-04-25,14676.3
2013-04-26,14700.8
2013-04-29,14712.55
2013-04-30,14818.75
