날짜,종가
2018-06-27,17.167
2018-06-26,17.261
2018-06-25,17.342
2018-06-24,16.475
2018-06-22,17.475
2018-06-21,17.343
2018-06-20,17.322
2018-06-19,17.338
2018-06-18,17.46
2018-06-17,16.585
2018-06-15,17.506
2018-06-14,18.303
2018-06-13,18.035
2018-06-12,17.933
2018-06-11,17.996
2018-06-10,16.785
2018-06-08,17.783
2018-06-07,17.857
2018-06-06,17.738
2018-06-05,17.597
2018-06-04,17.497
2018-06-03,16.41
2018-06-01,17.505
2018-05-31,17.516
2018-05-30,17.604
2018-05-29,17.428
2018-05-28,16.495
2018-05-27,16.51
2018-05-25,17.633
2018-05-24,17.779
2018-05-23,17.496
2018-05-22,17.671
2018-05-21,17.616
2018-05-20,16.455
2018-05-18,17.556
2018-05-17,17.585
2018-05-16,17.461
2018-05-15,17.351
2018-05-14,17.738
2018-05-13,16.725
2018-05-11,17.851
2018-05-10,17.857
2018-05-09,17.638
2018-05-08,17.573
2018-05-07,17.587
2018-05-06,16.535
2018-05-04,17.609
2018-05-03,17.533
2018-05-02,17.46
2018-05-01,17.211
2018-04-30,17.492
2018-04-29,16.455
2018-04-27,17.591
2018-04-26,17.67
2018-04-25,17.679
2018-04-24,17.878
2018-04-23,17.751
2018-04-22,17.085
2018-04-20,18.298
2018-04-19,18.378
2018-04-18,18.393
2018-04-17,17.919
2018-04-16,17.82
2018-04-15,16.625
2018-04-13,17.809
2018-04-12,17.62
2018-04-11,17.916
2018-04-10,17.743
2018-04-09,17.695
2018-04-08,16.385
2018-04-06,17.544
2018-04-05,17.541
2018-04-04,17.446
2018-04-03,17.589
2018-04-02,17.879
2018-04-01,16.375
2018-03-29,17.474
2018-03-28,17.465
2018-03-27,17.771
2018-03-26,17.914
2018-03-25,16.615
2018-03-23,17.809
2018-03-22,17.61
2018-03-21,17.644
2018-03-20,17.404
2018-03-19,17.528
2018-03-18,16.3
2018-03-16,17.475
2018-03-15,17.623
2018-03-14,17.749
2018-03-13,17.842
2018-03-12,17.744
2018-03-11,16.62
2018-03-09,17.818
2018-03-08,17.701
2018-03-07,17.688
2018-03-06,17.979
2018-03-05,17.605
2018-03-04,16.535
2018-03-02,17.657
2018-03-01,17.456
2018-02-28,17.585
2018-02-27,17.565
2018-02-26,17.74
2018-02-25,16.45
2018-02-23,17.666
2018-02-22,17.756
2018-02-21,17.794
2018-02-20,17.62
2018-02-19,16.61
2018-02-18,16.605
2018-02-16,17.902
2018-02-15,17.981
2018-02-14,18.05
2018-02-13,17.705
2018-02-12,17.753
2018-02-11,16.32
2018-02-09,17.327
2018-02-08,17.534
2018-02-07,17.435
2018-02-06,17.788
2018-02-05,17.879
2018-02-04,16.595
2018-02-02,17.923
2018-02-01,18.37
2018-01-31,18.456
2018-01-30,18.26
2018-01-29,18.328
2018-01-28,17.41
2018-01-26,18.646
2018-01-25,18.823
2018-01-24,18.699
2018-01-23,18.067
2018-01-22,18.144
2018-01-21,17.08
2018-01-19,18.091
2018-01-18,18.006
2018-01-17,18.217
2018-01-16,18.236
2018-01-15,17.38
2018-01-14,17.245
2018-01-12,18.169
2018-01-11,17.97
2018-01-10,18.038
2018-01-09,17.989
2018-01-08,18.117
2018-01-07,17.27
2018-01-05,18.237
2018-01-04,18.21
2018-01-03,18.196
2018-01-02,18.131
2018-01-01,17.07
2017-12-29,18.07
2017-12-28,17.846
2017-12-27,17.681
2017-12-26,17.531
2017-12-25,16.39
2017-12-22,17.369
2017-12-21,17.163
2017-12-20,17.199
2017-12-19,17.06
2017-12-18,17.108
2017-12-17,16.07
2017-12-15,16.968
2017-12-14,16.841
2017-12-13,16.777
2017-12-12,16.575
2017-12-11,16.696
2017-12-10,15.865
2017-12-08,16.735
2017-12-07,16.711
2017-12-06,16.862
2017-12-05,16.978
2017-12-04,17.285
2017-12-03,16.41
2017-12-01,17.303
2017-11-30,17.397
2017-11-29,17.472
2017-11-28,17.82
2017-11-27,18.024
2017-11-26,17.009
2017-11-24,17.999
2017-11-23,17.096
2017-11-22,18.119
2017-11-21,17.96
2017-11-20,17.827
2017-11-19,17.266
2017-11-17,18.357
2017-11-16,18.05
2017-11-15,17.938
2017-11-14,18.042
2017-11-13,18.006
2017-11-12,16.902
2017-11-10,17.822
2017-11-09,17.941
2017-11-08,18.109
2017-11-07,17.909
2017-11-06,18.192
2017-11-05,16.861
2017-11-03,17.791
2017-11-02,18.091
2017-11-01,18.118
2017-10-31,17.646
2017-10-30,17.797
2017-10-29,16.838
2017-10-27,17.71
2017-10-26,17.772
2017-10-25,17.882
2017-10-24,17.922
2017-10-23,18.032
2017-10-22,16.996
2017-10-20,18.033
2017-10-19,18.213
2017-10-18,17.955
2017-10-17,18
2017-10-16,18.33
2017-10-15,17.447
2017-10-13,18.361
2017-10-12,18.218
2017-10-11,18.085
2017-10-10,18.159
2017-10-09,17.919
2017-10-08,16.835
2017-10-06,17.739
2017-10-05,17.583
2017-10-04,17.56
2017-10-03,17.582
2017-10-02,17.591
2017-10-01,16.644
2017-09-29,17.614
2017-09-28,17.766
2017-09-27,17.746
2017-09-26,17.798
2017-09-25,18.065
2017-09-24,16.957
2017-09-22,17.901
2017-09-21,17.938
2017-09-20,18.26
2017-09-19,18.22
2017-09-18,18.094
2017-09-17,17.602
2017-09-15,18.648
2017-09-14,18.737
2017-09-13,18.79
2017-09-12,18.8
2017-09-11,18.801
2017-09-10,17.93
2017-09-08,19.014
2017-09-07,19.001
2017-09-06,18.868
2017-09-05,18.902
2017-09-04,17.914
2017-09-03,17.934
2017-09-01,18.775
2017-08-31,18.534
2017-08-30,18.471
2017-08-29,18.481
2017-08-28,18.492
2017-08-27,17.042
2017-08-25,18.091
2017-08-24,18.003
2017-08-23,18.082
2017-08-22,18.031
2017-08-21,18.068
2017-08-20,16.896
2017-08-18,18.06
2017-08-17,18.115
2017-08-16,18
2017-08-15,17.775
2017-08-14,18.182
2017-08-13,17.076
2017-08-11,18.131
2017-08-10,18.129
2017-08-09,17.923
2017-08-08,17.452
2017-08-07,17.319
2017-08-06,16.225
2017-08-04,17.327
2017-08-03,17.714
2017-08-02,17.82
2017-08-01,17.851
2017-07-31,17.874
2017-07-30,16.773
2017-07-28,17.781
2017-07-27,17.658
2017-07-26,17.52
2017-07-25,17.604
2017-07-24,17.503
2017-07-23,16.504
2017-07-21,17.516
2017-07-20,17.405
2017-07-19,17.359
2017-07-18,17.334
2017-07-17,17.165
2017-07-16,16.022
2017-07-14,16.997
2017-07-13,16.755
2017-07-12,16.954
2017-07-11,16.812
2017-07-10,16.704
2017-07-09,15.589
2017-07-07,16.501
2017-07-06,17.063
2017-07-05,16.977
2017-07-04,16.126
2017-07-03,17.176
2017-07-02,16.593
2017-06-30,17.713
2017-06-29,17.739
2017-06-28,17.876
2017-06-27,17.736
2017-06-26,17.718
2017-06-25,16.68
2017-06-23,17.794
2017-06-22,17.661
2017-06-21,17.522
2017-06-20,17.565
2017-06-19,17.653
2017-06-18,16.668
2017-06-16,17.803
2017-06-15,17.869
2017-06-14,18.297
2017-06-13,17.927
2017-06-12,18.103
2017-06-11,17.147
2017-06-09,18.383
2017-06-08,18.566
2017-06-07,18.772
2017-06-06,18.855
2017-06-05,18.726
2017-06-04,17.574
2017-06-02,18.67
2017-06-01,18.426
2017-05-31,18.561
2017-05-30,18.583
2017-05-29,17.392
2017-05-28,17.39
2017-05-26,18.484
2017-05-25,18.353
2017-05-24,18.277
2017-05-23,18.3
2017-05-22,18.35
2017-05-21,16.99
2017-05-19,17.954
2017-05-18,17.831
2017-05-17,18.067
2017-05-16,17.903
2017-05-15,17.755
2017-05-14,16.471
2017-05-12,17.56
2017-05-11,17.424
2017-05-10,17.367
2017-05-09,17.229
2017-05-08,17.426
2017-05-07,16.49
2017-05-05,17.442
2017-05-04,17.471
2017-05-03,17.718
2017-05-02,18.008
2017-05-01,18.021
2017-04-30,17.295
2017-04-28,18.445
2017-04-27,18.517
2017-04-26,18.617
2017-04-25,18.844
2017-04-24,19.104
2017-04-23,17.91
2017-04-21,19.102
2017-04-20,19.261
2017-04-19,19.389
2017-04-18,19.496
2017-04-17,19.75
2017-04-16,18.62
2017-04-14,18.545
2017-04-13,19.745
2017-04-12,19.536
2017-04-11,19.488
2017-04-10,19.158
2017-04-09,17.992
2017-04-07,19.396
2017-04-06,19.477
2017-04-05,19.427
2017-04-04,19.564
2017-04-03,19.429
2017-04-02,18.237
2017-03-31,19.483
2017-03-30,19.433
2017-03-29,19.469
2017-03-28,19.47
2017-03-27,19.324
2017-03-26,17.855
2017-03-24,18.963
2017-03-23,18.807
2017-03-22,18.793
2017-03-21,18.801
2017-03-20,18.648
2017-03-19,17.428
2017-03-17,18.622
2017-03-16,18.514
2017-03-15,18.098
2017-03-14,18.097
2017-03-13,18.146
2017-03-12,17.017
2017-03-10,18.097
2017-03-09,18.22
2017-03-08,18.5
2017-03-07,18.728
2017-03-06,18.967
2017-03-05,17.977
2017-03-03,18.944
2017-03-02,18.972
2017-03-01,19.707
2017-02-28,19.684
2017-02-27,19.632
2017-02-26,18.388
2017-02-24,19.623
2017-02-23,19.401
2017-02-22,19.239
2017-02-21,19.293
2017-02-20,18.043
2017-02-19,18.002
2017-02-17,19.314
2017-02-16,19.362
2017-02-15,19.246
2017-02-14,19.16
2017-02-13,19.068
2017-02-12,17.932
2017-02-10,19.169
2017-02-09,18.963
2017-02-08,18.925
2017-02-07,18.96
2017-02-06,18.87
2017-02-05,17.487
2017-02-03,18.635
2017-02-02,18.586
2017-02-01,18.606
2017-01-31,18.686
2017-01-30,18.237
2017-01-29,17.218
2017-01-27,18.214
2017-01-26,17.926
