적용일자,총수익지수,전일대비,순가격지수,전일대비
2010-12-15,130.65,-0.58,103.69,-0.47
2010-12-16,131.01,0.36,103.97,0.28
2010-12-17,131.02,0.01,103.94,-0.03
2010-12-20,131.03,0.01,103.93,-0.01
2010-12-21,131.52,0.49,104.32,0.39
2010-12-22,131.81,0.29,104.53,0.21
2010-12-23,131.67,-0.14,104.41,-0.12
2010-12-24,131.52,-0.15,104.26,-0.15
2010-12-27,131.55,0.03,104.28,0.02
2010-12-28,131.36,-0.19,104.11,-0.17
2010-12-29,131.26,-0.1,104.02,-0.09
2010-12-30,131.5,0.24,104.17,0.15
2011-01-03,131.1,-0.4,103.83,-0.34
2011-01-04,131.03,-0.07,103.77,-0.06
2011-01-05,130.9,-0.13,103.65,-0.12
2011-01-06,130.63,-0.27,103.43,-0.22
2011-01-07,130.46,-0.17,103.26,-0.17
2011-01-10,130.64,0.18,103.39,0.13
2011-01-11,130.57,-0.07,103.33,-0.06
2011-01-12,130.85,0.28,103.53,0.2
2011-01-13,130.68,-0.17,103.39,-0.14
2011-01-14,130.51,-0.17,103.22,-0.17
2011-01-17,130.54,0.03,103.23,0.01
2011-01-18,130.63,0.09,103.29,0.06
2011-01-19,130.32,-0.31,103.03,-0.26
2011-01-20,130.18,-0.14,102.91,-0.12
2011-01-21,130.28,0.1,102.95,0.04
2011-01-24,130.15,-0.13,102.84,-0.11
2011-01-25,130,-0.15,102.71,-0.13
2011-01-26,130.08,0.08,102.77,0.06
2011-01-27,130.16,0.08,102.81,0.04
2011-01-28,130.23,0.07,102.84,0.03
2011-01-31,130.05,-0.18,102.68,-0.16
2011-02-01,130.11,0.06,102.66,-0.02
2011-02-07,129.75,-0.36,102.36,-0.3
2011-02-08,129.7,-0.05,102.32,-0.04
2011-02-09,129.84,0.14,102.42,0.1
2011-02-10,130.04,0.2,102.57,0.15
2011-02-11,130.02,-0.02,102.52,-0.05
2011-02-14,130.08,0.06,102.55,0.03
2011-02-15,130.13,0.05,102.58,0.03
2011-02-16,130.21,0.08,102.63,0.05
2011-02-17,130.21,0,102.62,-0.01
2011-02-18,130.29,0.08,102.65,0.03
2011-02-21,130.34,0.05,102.68,0.03
2011-02-22,130.66,0.32,102.93,0.25
2011-02-23,130.73,0.07,102.97,0.04
2011-02-24,131,0.27,103.17,0.2
2011-02-25,130.99,-0.01,103.13,-0.04
2011-02-28,131.01,0.02,103.13,0
2011-03-02,130.98,-0.03,103.09,-0.04
2011-03-03,130.74,-0.24,102.89,-0.2
2011-03-04,130.73,-0.01,102.85,-0.04
2011-03-07,130.79,0.06,102.88,0.03
2011-03-08,130.97,0.18,103.02,0.14
2011-03-09,131.21,0.24,103.2,0.18
2011-03-10,131.77,0.56,103.63,0.43
2011-03-11,131.97,0.2,103.75,0.12
2011-03-14,132.32,0.35,104.02,0.27
2011-03-15,132.87,0.55,104.45,0.43
2011-03-16,132.28,-0.59,103.97,-0.48
2011-03-17,132.18,-0.1,103.88,-0.09
2011-03-18,132.06,-0.12,103.76,-0.12
2011-03-21,131.85,-0.21,103.58,-0.18
2011-03-22,131.98,0.13,103.67,0.09
2011-03-23,132.08,0.1,103.73,0.06
2011-03-24,132.24,0.16,103.85,0.12
2011-03-25,131.99,-0.25,103.62,-0.23
2011-03-28,132.05,0.06,103.66,0.04
2011-03-29,132.13,0.08,103.71,0.05
2011-03-30,131.91,-0.22,103.53,-0.18
2011-03-31,132.12,0.21,103.68,0.15
2011-04-01,132.32,0.2,103.81,0.13
2011-04-04,132.36,0.04,103.83,0.02
2011-04-05,132.37,0.01,103.83,0
2011-04-06,132.3,-0.07,103.76,-0.07
2011-04-07,132.26,-0.04,103.72,-0.04
2011-04-08,132.16,-0.1,103.61,-0.11
2011-04-11,131.95,-0.21,103.43,-0.18
2011-04-12,132.11,0.16,103.55,0.12
2011-04-13,132.25,0.14,103.64,0.09
2011-04-14,132.23,-0.02,103.62,-0.02
2011-04-15,132.25,0.02,103.6,-0.02
2011-04-18,132.53,0.28,103.81,0.21
2011-04-19,132.53,0,103.8,-0.01
2011-04-20,132.48,-0.05,103.75,-0.05
2011-04-21,132.22,-0.26,103.54,-0.21
2011-04-22,132.2,-0.02,103.49,-0.05
2011-04-25,132.05,-0.15,103.36,-0.13
2011-04-26,132.15,0.1,103.43,0.07
2011-04-27,132.12,-0.03,103.39,-0.04
2011-04-28,132.25,0.13,103.49,0.1
2011-04-29,132.43,0.18,103.59,0.1
2011-05-02,132.49,0.06,103.63,0.04
2011-05-03,132.46,-0.03,103.59,-0.04
2011-05-04,132.52,0.06,103.62,0.03
2011-05-06,132.61,0.09,103.66,0.04
2011-05-09,132.72,0.11,103.73,0.07
2011-05-11,132.82,0.1,103.8,0.07
2011-05-12,133.02,0.2,103.94,0.14
2011-05-13,133.17,0.15,104.03,0.09
2011-05-16,133.19,0.02,104.03,0
2011-05-17,133.3,0.11,104.11,0.08
2011-05-18,133.31,0.01,104.11,0
2011-05-19,133.37,0.06,104.14,0.03
2011-05-20,133.35,-0.02,104.09,-0.05
2011-05-23,133.6,0.25,104.28,0.19
2011-05-24,133.65,0.05,104.31,0.03
2011-05-25,133.82,0.17,104.43,0.12
2011-05-26,133.69,-0.13,104.32,-0.11
2011-05-27,133.78,0.09,104.36,0.04
2011-05-30,133.89,0.11,104.43,0.07
2011-05-31,133.85,-0.04,104.39,-0.04
2011-06-01,133.59,-0.26,104.18,-0.21
2011-06-02,133.98,0.39,104.48,0.3
2011-06-03,133.96,-0.02,104.42,-0.06
2011-06-07,134.2,0.24,104.59,0.17
2011-06-08,134.21,0.01,104.59,0
2011-06-09,134.14,-0.07,104.53,-0.06
2011-06-10,133.59,-0.55,104.06,-0.47
2011-06-13,133.72,0.13,104.15,0.09
2011-06-14,133.58,-0.14,104.03,-0.12
2011-06-15,133.58,0,104.02,-0.01
2011-06-16,133.91,0.33,104.27,0.25
2011-06-17,133.67,-0.24,104.05,-0.22
2011-06-20,133.88,0.21,104.2,0.15
2011-06-21,133.8,-0.08,104.13,-0.07
2011-06-22,133.85,0.05,104.16,0.03
2011-06-23,133.81,-0.04,104.12,-0.04
2011-06-24,133.74,-0.07,104.03,-0.09
2011-06-27,133.75,0.01,104.03,0
2011-06-28,133.72,-0.03,103.99,-0.04
2011-06-29,133.58,-0.14,103.87,-0.12
2011-06-30,133.56,-0.02,103.85,-0.02
2011-07-01,133.45,-0.11,103.73,-0.12
2011-07-04,133.5,0.05,103.76,0.03
2011-07-05,133.54,0.04,103.78,0.02
2011-07-06,133.58,0.04,103.8,0.02
2011-07-07,133.58,0,103.79,-0.01
2011-07-08,133.39,-0.19,103.61,-0.18
2011-07-11,133.53,0.14,103.7,0.09
2011-07-12,134.04,0.51,104.1,0.4
2011-07-13,134.13,0.09,104.16,0.06
2011-07-14,134.19,0.06,104.19,0.03
2011-07-15,134.22,0.03,104.19,0
2011-07-18,134.43,0.21,104.34,0.15
2011-07-19,134.42,-0.01,104.32,-0.02
2011-07-20,134.27,-0.15,104.19,-0.13
2011-07-21,134.14,-0.13,104.08,-0.11
2011-07-22,133.94,-0.2,103.89,-0.19
2011-07-25,134.01,0.07,103.93,0.04
2011-07-26,133.8,-0.21,103.76,-0.17
2011-07-27,133.91,0.11,103.84,0.08
2011-07-28,134.05,0.14,103.93,0.09
2011-07-29,133.95,-0.1,103.83,-0.1
2011-08-01,133.81,-0.14,103.7,-0.13
